InvoiceNo,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,6,01/12/10 08:26,2.55,17850,United Kingdom
536365,6,01/12/10 08:26,3.39,17850,United Kingdom
536365,8,01/12/10 08:26,2.75,17850,United Kingdom
536365,6,01/12/10 08:26,3.39,17850,United Kingdom
536365,6,01/12/10 08:26,3.39,17850,United Kingdom
536365,2,01/12/10 08:26,7.65,17850,United Kingdom
536365,6,01/12/10 08:26,4.25,17850,United Kingdom
536366,6,01/12/10 08:28,1.85,17850,United Kingdom
536366,6,01/12/10 08:28,1.85,17850,United Kingdom
536367,32,01/12/10 08:34,1.69,13047,United Kingdom
536367,6,01/12/10 08:34,2.1,13047,United Kingdom
536367,6,01/12/10 08:34,2.1,13047,United Kingdom
536367,8,01/12/10 08:34,3.75,13047,United Kingdom
536367,6,01/12/10 08:34,1.65,13047,United Kingdom
536367,6,01/12/10 08:34,4.25,13047,United Kingdom
536367,3,01/12/10 08:34,4.95,13047,United Kingdom
536367,2,01/12/10 08:34,9.95,13047,United Kingdom
536367,3,01/12/10 08:34,5.95,13047,United Kingdom
536367,3,01/12/10 08:34,5.95,13047,United Kingdom
536367,4,01/12/10 08:34,7.95,13047,United Kingdom
536367,4,01/12/10 08:34,7.95,13047,United Kingdom
536368,6,01/12/10 08:34,4.25,13047,United Kingdom
536368,3,01/12/10 08:34,4.95,13047,United Kingdom
536368,3,01/12/10 08:34,4.95,13047,United Kingdom
536368,3,01/12/10 08:34,4.95,13047,United Kingdom
536369,3,01/12/10 08:35,5.95,13047,United Kingdom
536370,24,01/12/10 08:45,3.75,12583,France
536370,24,01/12/10 08:45,3.75,12583,France
536370,12,01/12/10 08:45,3.75,12583,France
536370,12,01/12/10 08:45,0.85,12583,France
536370,24,01/12/10 08:45,0.65,12583,France
536370,48,01/12/10 08:45,0.85,12583,France
536370,24,01/12/10 08:45,1.25,12583,France
536370,18,01/12/10 08:45,2.95,12583,France
536370,24,01/12/10 08:45,2.95,12583,France
536370,24,01/12/10 08:45,1.95,12583,France
536370,24,01/12/10 08:45,1.95,12583,France
536370,24,01/12/10 08:45,1.95,12583,France
536370,20,01/12/10 08:45,0.85,12583,France
536370,24,01/12/10 08:45,1.65,12583,France
536370,24,01/12/10 08:45,2.95,12583,France
536370,12,01/12/10 08:45,3.75,12583,France
536370,24,01/12/10 08:45,0.42,12583,France
536370,24,01/12/10 08:45,0.42,12583,France
536370,36,01/12/10 08:45,0.65,12583,France
